Fuente: SENAMHI / DRD * Datos sin control de calidad. * El uso de estos datos será de entera responsabilidad del usuario.,Leyenda: * S/D = Sin Datos. * T = Trazas (Precipitación < 0.1 mm/día).
FECHA,TEMPERATURA_MAX,TEMPERATURA_MIN,HUMEDAD_RELATIVA,PRECIPITACION_TOTAL
2018-12-01,35,17,76.3,0.0
2018-12-02,35,17.2,74.7,0.0
2018-12-03,34.8,17.6,79.9,0.0
2018-12-04,35,17,76.5,0.0
2018-12-05,35.2,17.2,70.3,0.0
2018-12-06,35,17.8,72.4,15.0
2018-12-07,35.5,19.4,77.3,11.5
2018-12-08,30.2,17.6,84.1,0.0
2018-12-09,29.8,18,79.5,0.0
2018-12-10,29,18.2,S/D,16.0
2018-12-11,29,18.6,93.3,18.0
2018-12-12,29,18.8,91.6,0.0
2018-12-13,29.2,17.8,83.0,0.0
2018-12-14,32.6,18.2,94.1,1.0
2018-12-15,32.8,18.6,91.8,1.0
2018-12-16,33,17.4,91.6,0.0
2018-12-17,33,17.6,86.5,0.0
2018-12-18,29,17.2,84.6,0.0
2018-12-19,28.8,17.6,89.0,2.5
2018-12-20,29,17.4,88.8,0.0
2018-12-21,32.4,17.2,87.0,20.0
2018-12-22,32.8,17.4,95.1,3.0
2018-12-23,31.4,17.2,88.9,0.0
2018-12-24,29.2,15.4,91.0,0.0
2018-12-25,29,15.4,88.9,0.0
2018-12-26,27,15.8,93.9,2.0
2018-12-27,31,16,87.1,0.0
2018-12-28,29.5,16.2,87.4,2.8
2018-12-29,32.6,19.5,78.1,12.0
2018-12-30,32.8,18.2,94.8,7.0
2018-12-31,30,17.8,84.6,0.0
2019-01-01,33.5,17,77.2,0.0
