FECHA,TEMPERATURA_MAX,TEMPERATURA_MIN,HUMEDAD_RELATIVA,PRECIPITACION_TOTAL
2022-08-01,32.8,13.8,80.9,32.5
2022-08-02,33.2,14,80.8,0.0
2022-08-03,33.2,14,87.5,0.0
2022-08-04,30,14.2,93.2,4.5
2022-08-05,31.2,13.8,85.2,2.5
2022-08-06,33,14.4,84.7,3.2
2022-08-07,33,14.2,83.0,1.2
2022-08-08,34,13.2,85.4,-999.0
2022-08-09,33.2,S/D,S/D,12.0
2022-08-10,31,13.8,90.9,8.2
2022-08-11,33.5,14,S/D,0.0
2022-08-12,33.2,14,80.5,0.0
2022-08-13,33.5,14,77.2,0.0
2022-08-14,35.8,14.5,77.7,0.0
2022-08-15,34,14,83.1,0.0
2022-08-16,35.8,14.5,75.9,0.0
2022-08-17,34,14.5,77.7,0.0
2022-08-18,36,14.5,71.8,0.0
2022-08-19,33,14.5,89.8,11.0
2022-08-20,S/D,14.8,S/D,S/D
2022-08-21,33.2,S/D,S/D,0.0
2022-08-22,32.5,13,62.7,0.0
2022-08-23,33.8,14,S/D,1.5
2022-08-24,32,12,78.4,0.0
2022-08-25,34,12.5,71.9,0.0
2022-08-26,33.8,12.2,,
