Fuente: SENAMHI / DRD * Datos sin control de calidad. * El uso de estos datos será de entera responsabilidad del usuario.,Leyenda: * S/D = Sin Datos. * T = Trazas (Precipitación < 0.1 mm/día).
FECHA,TEMPERATURA_MAX,TEMPERATURA_MIN,HUMEDAD_RELATIVA,PRECIPITACION_TOTAL
2023-10-01,36.2,23.2,65.8,0.0
2023-10-02,38.4,24.6,58.8,0.0
2023-10-03,36.8,25.4,64.9,0.7
2023-10-04,37,24.2,72.8,0.4
2023-10-05,37.8,22.2,64.9,0.0
2023-10-06,38,24,59.2,0.0
2023-10-07,37.8,25,59.4,0.0
2023-10-08,33.4,27.2,69.9,0.1
2023-10-09,36.2,24.2,72.1,4.7
2023-10-10,34.2,23.4,70.9,0.0
2023-10-11,36.4,23.6,63.3,0.0
2023-10-12,36.8,23.8,62.2,0.0
2023-10-13,36.6,22.2,64.3,5.3
2023-10-14,27.2,23.2,85.2,0.4
2023-10-15,34.2,21.6,74.9,0.1
2023-10-16,34.4,24.4,70.6,0.0
2023-10-17,35.2,22.8,65.9,0.0
2023-10-18,35.4,23.6,69.8,0.0
2023-10-19,33.4,24.4,71.3,0.0
2023-10-20,35.8,23.6,73.1,0.0
2023-10-21,33.2,24.2,73.8,0.0
2023-10-22,34.2,21.8,73.6,0.0
2023-10-23,35.2,22,68.8,0.0
2023-10-24,36.6,23.6,64.0,0.0
2023-10-25,36.4,25.6,62.7,42.9
2023-10-26,32.2,22.6,81.7,0.9
2023-10-27,36.4,24.2,75.6,0.0
2023-10-28,37.4,25,68.0,0.0
2023-10-29,34.6,23.2,76.3,0.0
2023-10-30,36.2,22.6,69.7,0.3
2023-10-31,35.4,23.4,70.8,0.0
2023-11-01,37.4,23.8,69.4,0.0
