Fuente: SENAMHI / DRD * Datos sin control de calidad. * El uso de estos datos será de entera responsabilidad del usuario.,Leyenda: * S/D = Sin Datos. * T = Trazas (Precipitación < 0.1 mm/día).
FECHA,TEMPERATURA_MAX,TEMPERATURA_MIN,HUMEDAD_RELATIVA,PRECIPITACION_TOTAL
2021-06-01,20.2,8,85.2,0.0
2021-06-02,21.8,8.6,80.9,0.0
2021-06-03,20,9.2,82.2,1.0
2021-06-04,20.6,9,84.3,0.0
2021-06-05,16,8.8,91.9,2.3
2021-06-06,15.8,9.2,91.9,2.3
2021-06-07,19.4,9,83.9,0.0
2021-06-08,18,10,91.4,0.0
2021-06-09,19,11,83.8,1.4
2021-06-10,21.8,11,79.2,0.0
2021-06-11,20.8,10.2,80.4,0.0
2021-06-12,20,10.2,80.2,0.0
2021-06-13,18.8,10.6,85.5,6.6
2021-06-14,21,10.8,80.3,0.0
2021-06-15,21.8,10.4,76.4,0.0
2021-06-16,18,11,81.0,0.0
2021-06-17,17.6,10.8,84.4,0.0
2021-06-18,17,10.2,81.7,0.9
2021-06-19,17.8,9,84.0,2.8
2021-06-20,15.8,8.8,92.9,3.4
2021-06-21,20.6,9.2,81.0,0.0
2021-06-22,20.2,9.8,78.0,0.0
2021-06-23,21,7.2,74.1,0.0
2021-06-24,21,6.2,75.9,0.0
2021-06-25,20.8,7.4,65.8,0.0
2021-06-26,22,7.6,76.6,0.0
2021-06-27,19.4,7.8,83.7,1.8
2021-06-28,19.8,7.8,83.0,0.5
2021-06-29,18.6,8,80.9,0.0
2021-06-30,16.8,8.8,81.4,0.0
2021-07-01,19.8,8.6,72.9,0.0
