Fuente: SENAMHI / DRD * Datos sin control de calidad. * El uso de estos datos será de entera responsabilidad del usuario.,Leyenda: * S/D = Sin Datos. * T = Trazas (Precipitación < 0.1 mm/día).
FECHA,TEMPERATURA_MAX,TEMPERATURA_MIN,HUMEDAD_RELATIVA,PRECIPITACION_TOTAL
2017-02-01,28.6,21.8,92.2,8.9
2017-02-02,30.8,21.6,89.7,1.8
2017-02-03,29.6,21.6,89.3,25.4
2017-02-04,28,21.5,88.6,3.0
2017-02-05,26.5,21.6,96.7,20.2
2017-02-06,25.7,21,95.2,2.8
2017-02-07,28.6,21.4,91.8,1.5
2017-02-08,28.5,22,88.2,7.0
2017-02-09,31.5,22.2,89.2,0.0
2017-02-10,32.5,22.2,85.2,0.0
2017-02-11,32,22.4,88.8,13.2
2017-02-12,32,22.8,86.2,5.2
2017-02-13,33.6,22.8,81.6,0.0
2017-02-14,33.2,23,80.8,0.0
2017-02-15,33.5,22.8,78.5,0.8
2017-02-16,32.2,22.2,82.5,7.6
2017-02-17,31.6,22.6,86.5,0.0
2017-02-18,32.4,21.6,81.4,0.0
2017-02-19,29,22,91.3,0.6
2017-02-20,29.2,22.2,89.4,0.0
2017-02-21,34.5,21.8,79.8,19.0
2017-02-22,29.8,21.4,86.4,0.8
2017-02-23,31,21.6,84.2,0.0
2017-02-24,29,22,90.9,9.6
2017-02-25,28,22.2,93.0,47.2
2017-02-26,30.6,20.8,85.2,0.0
2017-02-27,30.5,21,85.6,3.1
2017-02-28,32.7,22,83.9,10.5
2017-03-01,32,21.2,85.5,2.7
