Fuente: SENAMHI / DRD * Datos sin control de calidad. * El uso de estos datos será de entera responsabilidad del usuario.,Leyenda: * S/D = Sin Datos. * T = Trazas (Precipitación < 0.1 mm/día).
FECHA,TEMPERATURA_MAX,TEMPERATURA_MIN,HUMEDAD_RELATIVA,PRECIPITACION_TOTAL
2023-06-01,24.5,16.5,95.6,3.7
2023-06-02,20.8,16.7,96.8,2.7
2023-06-03,24,16.4,96.1,0.0
2023-06-04,25,16.4,98.3,0.0
2023-06-05,25,16.5,96.4,1.1
2023-06-06,26.5,16.1,94.3,0.0
2023-06-07,25,16.4,98.4,2.2
2023-06-08,26,16.5,94.9,0.0
2023-06-09,25,16.5,94.1,0.8
2023-06-10,27.5,16.6,98.2,3.3
2023-06-11,25,16.5,96.6,13.5
2023-06-12,25.5,17,96.9,2.3
2023-06-13,24,17,93.2,4.5
2023-06-14,25,16.9,96.3,1.7
2023-06-15,23.5,16,96.3,0.9
2023-06-16,21.2,16.5,96.2,8.3
2023-06-17,21,16.4,95.9,5.9
2023-06-18,25.5,15,96.2,0.0
2023-06-19,25,14.5,76.9,0.0
2023-06-20,27,14.6,94.4,0.0
2023-06-21,27.2,15.6,95.1,0.0
2023-06-22,25.7,16.5,97.2,0.0
2023-06-23,27.5,16.4,96.4,0.0
2023-06-24,27.6,16.4,95.1,0.0
2023-06-25,27.5,16,95.8,0.0
2023-06-26,24.2,16.6,94.4,0.8
2023-06-27,26,16,97.1,0.0
2023-06-28,27,16.5,95.7,0.0
2023-06-29,26.8,16,96.6,0.0
2023-06-30,25,17,93.2,0.0
2023-07-01,25,16.5,96.8,0.0
