Fuente: SENAMHI / DRD * Datos sin control de calidad. * El uso de estos datos será de entera responsabilidad del usuario.,Leyenda: * S/D = Sin Datos. * T = Trazas (Precipitación < 0.1 mm/día).
FECHA,TEMPERATURA_MAX,TEMPERATURA_MIN,HUMEDAD_RELATIVA,PRECIPITACION_TOTAL
2023-07-01,25.6,17,95.0,0.0
2023-07-02,28.2,16.8,94.1,0.0
2023-07-03,29,17,94.1,0.0
2023-07-04,27.8,17.2,96.2,0.0
2023-07-05,29,17.4,94.3,12.8
2023-07-06,26,17,95.0,0.0
2023-07-07,28.4,16.8,93.0,2.8
2023-07-08,23.8,17,96.0,4.2
2023-07-09,27.4,17.4,95.3,2.4
2023-07-10,27.2,16.8,94.5,0.0
2023-07-11,28.4,17,94.7,0.0
2023-07-12,28.6,17.6,95.8,0.0
2023-07-13,29,17.6,93.7,0.0
2023-07-14,28.6,17,94.5,2.8
2023-07-15,25.8,17.2,95.0,2.8
2023-07-16,24.8,16.8,96.1,3.2
2023-07-17,27.2,17,95.1,0.0
2023-07-18,27.6,16.6,94.5,0.0
2023-07-19,28.4,16.8,94.6,0.0
2023-07-20,27.2,17,95.1,0.0
2023-07-21,26.8,17.2,95.6,0.0
2023-07-22,27.6,17.4,94.8,0.0
2023-07-23,26.8,17,96.1,0.0
2023-07-24,27,16.8,95.7,0.0
2023-07-25,28,16.6,94.7,0.0
2023-07-26,29.4,17.2,94.3,0.0
2023-07-27,29.6,17.6,94.7,0.0
2023-07-28,27.2,17.8,95.7,0.0
2023-07-29,25,17.2,95.6,0.0
2023-07-30,26,16.8,96.1,0.0
2023-07-31,25.8,16.4,96.1,0.0
