FECHA,TEMPERATURA_MAX,TEMPERATURA_MIN,HUMEDAD_RELATIVA,PRECIPITACION_TOTAL
2025-01-01,26.5,17.9,83.4,0.9
2025-01-02,23.9,18.2,90.4,6.5
2025-01-03,23.4,16.9,88.8,4.4
2025-01-04,23.8,17.3,88.4,0.2
2025-01-05,28.5,16.6,80.8,1.2
2025-01-06,25.8,16.8,84.6,0.0
2025-01-07,26.1,16.3,83.6,7.6
2025-01-08,26,17,79.1,14.3
2025-01-09,27.4,14.4,80.2,1.4
2025-01-10,26.7,18.4,79.5,0.0
2025-01-11,25.6,18.3,77.3,1.8
2025-01-12,25.1,18,78.5,0.0
2025-01-13,27.3,17.1,76.0,0.0
2025-01-14,30.3,17,69.7,0.0
2025-01-15,26.9,17.7,75.7,0.0
2025-01-16,29.4,16.6,61.7,0.0
2025-01-17,28.1,14.8,,
