Fuente: SENAMHI / DRD * Datos sin control de calidad. * El uso de estos datos será de entera responsabilidad del usuario.,Leyenda: * S/D = Sin Datos. * T = Trazas (Precipitación < 0.1 mm/día).
FECHA,TEMPERATURA_MAX,TEMPERATURA_MIN,HUMEDAD_RELATIVA,PRECIPITACION_TOTAL
2025-02-01,27.2,18.4,75.8,0.0
2025-02-02,27.3,18.4,76.6,0.0
2025-02-03,29.2,16.3,77.7,0.3
2025-02-04,25.8,18.4,84.9,0.8
2025-02-05,27.1,18.1,72.9,0.0
2025-02-06,23.6,17.4,86.2,0.9
2025-02-07,22.7,17.3,93.9,19.7
2025-02-08,21.6,18.2,94.8,7.6
2025-02-09,26.1,17.1,84.5,0.6
2025-02-10,24.8,17.7,82.1,2.6
2025-02-11,26.9,18.2,76.5,12.2
2025-02-12,22.9,18.1,87.7,2.5
2025-02-13,25.9,17.7,74.1,4.2
2025-02-14,25.9,17.4,83.8,0.0
2025-02-15,28.9,15.3,68.7,16.5
2025-02-16,24.8,17.6,89.4,5.2
2025-02-17,26.8,16,76.8,5.6
2025-02-18,25.4,18.2,85.1,2.5
2025-02-19,24.3,18.3,83.1,0.0
2025-02-20,26.4,16.8,84.6,0.0
2025-02-21,26.3,17.3,86.2,1.5
2025-02-22,25.5,18.3,86.1,3.8
2025-02-23,24.4,17.3,93.2,40.7
2025-02-24,23.9,18.1,91.0,6.7
2025-02-25,25.1,18,83.2,0.2
2025-02-26,26.4,16.3,86.7,2.8
2025-02-27,27.2,18,81.4,6.9
2025-02-28,27.4,18.1,89.3,1.2
