Fuente: SENAMHI / DRD * Datos sin control de calidad. * El uso de estos datos será de entera responsabilidad del usuario.,Leyenda: * S/D = Sin Datos. * T = Trazas (Precipitación < 0.1 mm/día).
FECHA,NIVEL DEL RIO (M) 06,NIVEL DEL RIO (M) 10,NIVEL DEL RIO (M) 14,NIVEL DEL RIO (M) 18
2019-04-01,1.030,1.030,1.010,1.000
2019-04-02,1.260,1.240,1.220,1.200
2019-04-03,2.750,2.060,2.030,2.000
2019-04-04,1.260,1.240,1.220,1.180
2019-04-05,1.060,1.050,1.030,1.020
2019-04-06,0.980,0.960,0.940,0.920
2019-04-07,1.040,1.010,1.000,0.980
2019-04-08,1.160,1.140,1.120,1.100
2019-04-09,1.040,1.080,1.040,1.020
2019-04-10,1.020,1.000,0.960,0.960
2019-04-11,0.950,0.940,0.920,0.900
2019-04-12,0.960,0.940,0.920,0.910
2019-04-13,0.960,1.070,1.050,1.040
2019-04-14,0.960,0.980,0.000,0.940
2019-04-15,0.920,0.900,0.880,0.880
2019-04-16,1.290,1.270,1.270,1.240
2019-04-17,1.320,1.300,1.270,1.260
2019-04-18,1.090,1.050,1.030,1.020
2019-04-19,0.970,0.950,0.930,0.920
2019-04-20,0.870,0.850,0.830,0.810
2019-04-21,0.840,0.830,0.830,0.800
2019-04-22,0.970,0.950,0.920,0.900
2019-04-23,1.040,1.030,1.000,0.970
2019-04-24,1.020,1.000,0.980,0.960
2019-04-25,1.720,1.630,1.500,1.450
2019-04-26,1.050,1.020,1.000,0.990
2019-04-27,0.850,0.840,0.820,0.800
2019-04-28,0.950,0.930,0.920,0.900
2019-04-29,1.000,0.980,0.980,0.920
2019-04-30,1.000,0.930,0.910,0.900
