FECHA,NIVEL DEL RIO (M) 06,NIVEL DEL RIO (M) 10,NIVEL DEL RIO (M) 14,NIVEL DEL RIO (M) 18
2022-01-01,0.790,0.790,1.080,1.070
2022-01-02,1.180,1.160,1.150,1.140
2022-01-03,1.120,1.100,1.100,1.080
2022-01-04,1.070,1.060,1.050,1.040
2022-01-05,1.040,1.030,1.010,1.010
2022-01-06,1.000,1.000,1.000,0.990
2022-01-07,1.160,1.150,1.000,0.990
2022-01-08,1.100,1.080,1.060,1.050
2022-01-09,1.080,1.060,1.040,1.040
2022-01-10,1.010,1.010,1.010,0.990
2022-01-11,1.030,1.010,1.010,0.990
2022-01-12,1.010,1.010,1.000,0.980
2022-01-13,1.110,1.100,1.100,1.090
2022-01-14,1.160,1.150,1.140,1.120
2022-01-15,1.010,1.000,1.000,0.990
2022-01-16,1.010,1.000,0.990,0.980
2022-01-17,1.100,1.090,1.070,1.060
2022-01-18,0.990,0.980,0.980,0.980
2022-01-19,0.970,0.970,0.900,0.960
2022-01-20,0.970,0.000,0.000,0.000
