Fuente: SENAMHI / DRD * Datos sin control de calidad. * El uso de estos datos será de entera responsabilidad del usuario.,Leyenda: * S/D = Sin Datos. * T = Trazas (Precipitación < 0.1 mm/día).
FECHA,TEMPERATURA_MAX,TEMPERATURA_MIN,HUMEDAD_RELATIVA,PRECIPITACION_TOTAL
2019-02-01,29.8,22.6,88.0,0.0
2019-02-02,32,23.4,82.6,0.5
2019-02-03,32,23.8,85.2,0.9
2019-02-04,30.8,23,89.5,23.2
2019-02-05,29.8,23,86.7,3.4
2019-02-06,32.6,23.6,84.7,24.8
2019-02-07,30.4,23.4,89.1,0.2
2019-02-08,32,23.4,83.5,2.1
2019-02-09,33.8,23.8,83.1,8.8
2019-02-10,32.6,23.6,82.4,40.8
2019-02-11,31.6,22.8,89.4,10.8
2019-02-12,31.4,22.6,87.1,21.6
2019-02-13,30,22.8,90.8,4.0
2019-02-14,34.4,22.8,82.7,7.7
2019-02-15,34,23.2,82.1,9.8
2019-02-16,31.2,23,87.9,0.3
2019-02-17,33.6,23.2,81.7,0.0
2019-02-18,34.6,23.6,73.0,7.6
2019-02-19,30.2,22.8,86.0,15.2
2019-02-20,31.2,23.2,84.3,1.0
2019-02-21,31.6,23.4,88.5,26.8
2019-02-22,28.4,23.6,93.2,0.0
2019-02-23,30.4,23,87.3,17.3
2019-02-24,31.2,23,86.7,0.0
2019-02-25,33,23,83.2,0.0
2019-02-26,35,23.4,75.5,0.0
2019-02-27,33.4,24,82.6,0.0
2019-02-28,32.2,23.8,81.6,0.0
2019-03-01,29.8,24,89.3,S/D
