FECHA,NIVEL DEL RIO (M) 06,NIVEL DEL RIO (M) 10,NIVEL DEL RIO (M) 14,NIVEL DEL RIO (M) 18
2023-10-02,7.150,7.130,7.110,7.080
2023-10-03,7.040,7.000,6.980,6.960
2023-10-04,6.940,6.980,7.050,7.100
2023-10-05,7.150,7.140,7.130,7.120
2023-10-06,7.110,7.090,7.070,7.050
2023-10-07,7.020,7.000,6.950,6.900
2023-10-09,6.800,6.760,6.700,6.640
2023-10-10,6.600,6.550,6.500,6.450
2023-10-11,6.400,6.380,6.360,6.340
2023-10-12,6.320,6.310,6.300,6.290
2023-10-13,6.280,6.280,6.280,6.280
2023-10-14,6.280,6.270,6.260,6.250
2023-10-16,6.230,6.250,6.280,6.310
2023-10-17,6.340,6.360,6.380,6.400
2023-10-18,6.430,6.450,6.470,6.500
2023-10-19,6.540,6.600,6.700,6.800
2023-10-20,6.950,7.050,7.100,7.150
2023-10-21,7.250,7.350,7.430,7.490
2023-10-23,7.550,7.540,7.530,7.520
2023-10-24,7.510,7.480,7.450,7.410
2023-10-25,7.380,7.350,7.300,7.270
2023-10-26,7.240,7.220,7.200,7.180
2023-10-27,7.160,7.130,7.100,7.070
2023-10-28,7.040,7.100,7.150,7.220
