Fuente: SENAMHI / DRD * Datos sin control de calidad. * El uso de estos datos será de entera responsabilidad del usuario.,Leyenda: * S/D = Sin Datos. * T = Trazas (Precipitación < 0.1 mm/día).
FECHA,NIVEL DEL RIO (M) 06,NIVEL DEL RIO (M) 10,NIVEL DEL RIO (M) 14,NIVEL DEL RIO (M) 18
2024-06-01,14.040,14.020,14.000,13.980
2024-06-02,13.960,13.940,13.920,13.900
2024-06-03,13.880,13.860,13.840,13.820
2024-06-04,13.800,13.780,13.760,13.740
2024-06-05,13.720,13.700,13.680,13.660
2024-06-06,13.640,13.640,13.640,13.640
2024-06-07,13.620,13.600,13.580,13.560
2024-06-08,13.540,13.520,13.500,13.480
2024-06-09,13.460,13.440,13.420,13.400
2024-06-10,13.380,13.360,13.340,13.320
2024-06-11,13.300,13.280,13.260,13.240
2024-06-12,13.220,13.200,13.180,13.160
2024-06-13,13.140,13.140,13.140,13.140
2024-06-14,13.120,13.100,13.080,13.060
2024-06-15,13.040,13.020,13.000,12.980
2024-06-16,12.960,12.940,12.920,12.900
2024-06-17,12.880,12.860,12.840,12.820
2024-06-18,12.800,12.780,12.760,12.740
2024-06-19,12.720,12.700,12.680,12.660
2024-06-20,12.640,12.600,12.550,12.500
2024-06-21,12.450,12.400,12.350,12.300
2024-06-22,12.270,12.250,12.220,12.190
2024-06-23,12.170,12.150,12.120,12.090
2024-06-24,12.060,12.040,12.020,12.000
2024-06-25,11.980,11.960,11.940,11.920
2024-06-26,11.900,11.880,11.860,11.840
2024-06-27,11.820,11.800,11.780,11.760
2024-06-28,11.740,11.720,11.700,11.680
2024-06-29,11.680,11.680,11.680,11.680
2024-06-30,11.700,11.720,11.740,11.760
