Fuente: SENAMHI / DRD * Datos sin control de calidad. * El uso de estos datos será de entera responsabilidad del usuario.,Leyenda: * S/D = Sin Datos. * T = Trazas (Precipitación < 0.1 mm/día).
FECHA,TEMPERATURA_MAX,TEMPERATURA_MIN,HUMEDAD_RELATIVA,PRECIPITACION_TOTAL
2022-05-01,34.2,24,S/D,0.0
2022-05-02,33.6,24,S/D,3.6
2022-05-03,35.4,24.2,S/D,45.4
2022-05-04,33.2,24.4,S/D,14.5
2022-05-05,30,23.2,S/D,0.0
2022-05-06,32.6,22.2,S/D,S/D
2022-05-07,31.2,23.4,S/D,S/D
2022-05-08,33,23.4,S/D,0.0
2022-05-09,34.4,23.6,S/D,20.1
2022-05-10,34.2,24,S/D,30.2
2022-05-11,33.4,24.6,S/D,6.6
2022-05-12,32.2,23.6,S/D,50.2
2022-05-13,32.4,22.6,S/D,0.0
2022-05-14,34.4,24.2,S/D,8.7
2022-05-15,30.2,25.6,S/D,31.0
2022-05-16,33.4,22,S/D,64.2
2022-05-17,26,22.6,S/D,0.0
2022-05-18,28.2,23,S/D,0.0
2022-05-19,28.4,22.4,S/D,0.0
2022-05-20,29.4,23.6,S/D,0.0
2022-05-21,34.2,23.8,S/D,0.0
2022-05-22,33.4,24.2,S/D,0.0
2022-05-23,32.4,23.2,S/D,4.6
2022-05-24,31.2,24.2,S/D,30.2
2022-05-25,32.4,23.2,S/D,13.5
2022-05-26,32.2,23,S/D,33.5
2022-05-27,32.2,24,S/D,9.6
2022-05-28,34,23.6,S/D,0.0
2022-05-29,30.2,24,S/D,11.3
2022-05-30,34.2,24.6,S/D,6.2
2022-05-31,34.4,23.2,S/D,0.0
