Fuente: SENAMHI / DRD * Datos sin control de calidad. * El uso de estos datos será de entera responsabilidad del usuario.,Leyenda: * S/D = Sin Datos. * T = Trazas (Precipitación < 0.1 mm/día).
FECHA,NIVEL DEL RIO (M) 06,NIVEL DEL RIO (M) 10,NIVEL DEL RIO (M) 14,NIVEL DEL RIO (M) 18
2026-03-01,5.330,5.320,5.310,5.310
2026-03-02,5.280,5.200,5.330,5.350
2026-03-03,5.490,5.520,5.550,5.590
2026-03-04,5.810,5.840,5.860,5.890
2026-03-05,6.010,5.990,5.970,5.950
2026-03-06,5.930,5.900,5.870,5.840
2026-03-07,5.720,5.710,5.690,5.670
2026-03-08,5.490,5.470,5.450,5.430
2026-03-09,5.280,5.270,5.250,5.230
2026-03-10,5.190,5.180,5.180,5.180
2026-03-11,5.220,5.200,5.180,5.200
2026-03-12,5.320,5.330,5.340,5.250
2026-03-13,5.400,5.410,5.430,5.410
2026-03-14,5.290,5.270,5.250,5.230
2026-03-15,5.170,5.170,5.130,5.110
2026-03-16,5.020,5.020,5.010,4.990
2026-03-17,4.900,4.900,4.890,4.890
2026-03-18,4.810,4.830,4.850,4.850
2026-03-19,4.920,4.950,4.980,5.020
2026-03-20,5.200,5.220,5.240,5.260
2026-03-21,5.370,5.370,5.370,5.370
2026-03-22,5.340,5.330,5.320,5.320
2026-03-23,5.280,5.270,5.260,5.250
2026-03-24,5.190,5.190,5.170,5.170
2026-03-25,5.080,5.040,5.010,4.980
2026-03-26,4.810,4.790,4.750,4.730
2026-03-27,4.590,4.560,4.530,4.500
2026-03-28,4.380,4.360,4.350,4.330
2026-03-29,4.250,4.230,4.210,4.190
2026-03-30,4.080,4.080,4.080,4.080
2026-03-31,4.120,4.110,4.100,4.090
