Fuente: SENAMHI / DRD * Datos sin control de calidad. * El uso de estos datos será de entera responsabilidad del usuario.,Leyenda: * S/D = Sin Datos. * T = Trazas (Precipitación < 0.1 mm/día).
FECHA,NIVEL DEL RIO (M) 06,NIVEL DEL RIO (M) 10,NIVEL DEL RIO (M) 14,NIVEL DEL RIO (M) 18
2022-09-01,5.120,4.980,4.850,4.650
2022-09-02,4.100,3.850,3.750,3.650
2022-09-03,3.500,3.450,3.400,3.400
2022-09-04,3.650,3.750,3.900,4.150
2022-09-05,4.700,4.720,4.720,4.650
2022-09-06,4.550,4.600,4.620,4.650
2022-09-07,4.600,4.550,4.450,4.280
2022-09-08,3.750,3.720,3.680,3.650
2022-09-09,3.450,3.420,3.400,3.350
2022-09-10,3.280,3.250,3.220,3.200
2022-09-11,3.500,3.650,3.700,3.620
2022-09-12,3.580,3.560,3.540,3.520
2022-09-13,3.450,3.420,3.400,3.380
2022-09-14,3.300,3.280,3.250,3.250
2022-09-15,3.320,3.350,3.400,3.450
2022-09-16,3.950,4.200,4.620,4.750
2022-09-17,5.550,5.580,5.620,5.650
2022-09-18,5.080,4.950,4.700,4.600
2022-09-19,3.980,3.800,3.750,3.700
2022-09-20,3.620,3.580,3.550,3.520
2022-09-21,3.400,3.380,3.350,3.320
2022-09-22,3.280,3.250,3.220,3.200
2022-09-23,3.180,3.180,3.200,3.250
2022-09-24,3.400,3.450,3.500,3.550
2022-09-25,4.150,4.220,4.280,4.320
2022-09-26,4.120,4.080,4.020,3.700
2022-09-27,3.500,3.450,3.420,3.380
2022-09-28,3.300,3.280,3.250,3.220
2022-09-29,3.180,3.160,3.140,3.120
2022-09-30,3.080,3.080,3.120,3.180
