Fuente: SENAMHI / DRD * Datos sin control de calidad. * El uso de estos datos será de entera responsabilidad del usuario.,Leyenda: * S/D = Sin Datos. * T = Trazas (Precipitación < 0.1 mm/día).
FECHA,TEMPERATURA_MAX,TEMPERATURA_MIN,HUMEDAD_RELATIVA,PRECIPITACION_TOTAL
2025-10-01,S/D,S/D,89.7,10.8
2025-10-02,S/D,S/D,92.0,22.4
2025-10-03,S/D,S/D,90.2,7.6
2025-10-04,S/D,S/D,82.8,0.0
2025-10-05,S/D,S/D,S/D,0.0
2025-10-06,S/D,S/D,91.0,0.0
2025-10-07,S/D,S/D,80.3,0.0
2025-10-08,S/D,S/D,90.0,22.0
2025-10-09,S/D,S/D,85.6,14.0
2025-10-10,S/D,S/D,90.1,0.0
2025-10-11,S/D,S/D,88.6,0.0
2025-10-12,S/D,S/D,87.0,38.4
2025-10-13,S/D,S/D,88.4,0.0
2025-10-14,S/D,S/D,86.4,0.0
2025-10-15,S/D,S/D,90.1,0.0
2025-10-16,S/D,S/D,89.8,30.8
2025-10-17,S/D,S/D,91.0,51.6
2025-10-18,S/D,S/D,88.8,0.0
2025-10-19,S/D,S/D,82.3,7.4
2025-10-20,S/D,S/D,85.3,5.2
2025-10-21,S/D,S/D,82.8,0.0
2025-10-22,S/D,S/D,90.1,2.6
2025-10-23,S/D,S/D,89.4,7.4
2025-10-24,S/D,S/D,86.4,0.0
2025-10-25,S/D,S/D,83.3,0.0
2025-10-26,S/D,S/D,88.6,3.8
2025-10-27,S/D,S/D,88.5,7.4
2025-10-28,S/D,S/D,91.4,40.8
2025-10-29,S/D,S/D,87.7,3.2
2025-10-30,S/D,S/D,86.8,0.0
2025-10-31,S/D,S/D,86.2,41.6
2025-11-01,S/D,S/D,86.0,12.4
