Fuente: SENAMHI / DRD * Datos sin control de calidad. * El uso de estos datos será de entera responsabilidad del usuario.,Leyenda: * S/D = Sin Datos. * T = Trazas (Precipitación < 0.1 mm/día).
FECHA,TEMPERATURA_MAX,TEMPERATURA_MIN,HUMEDAD_RELATIVA,PRECIPITACION_TOTAL
2025-03-01,33.8,23.2,84.8,0.0
2025-03-02,32,23.8,92.6,7.1
2025-03-03,30.6,23.2,93.0,0.0
2025-03-04,34.6,23.6,86.6,0.0
2025-03-05,30.6,24,94.3,5.6
2025-03-06,30.8,22.6,94.2,35.1
2025-03-07,31.6,22.2,91.6,0.0
2025-03-08,33.8,23.2,84.7,0.0
2025-03-09,34.4,23.8,85.7,2.5
2025-03-10,29.6,23.6,91.0,0.0
2025-03-11,33.8,23.8,89.9,0.0
2025-03-12,32.6,24.2,90.7,0.0
2025-03-13,31.2,23.4,91.0,5.0
2025-03-14,32.2,23.2,88.3,40.6
2025-03-15,31.2,23.6,92.9,0.0
2025-03-16,32.6,23.8,84.6,0.0
2025-03-17,34.2,24.2,81.9,0.0
2025-03-18,29.6,23.8,95.3,77.5
2025-03-19,33.4,23.4,90.8,0.0
2025-03-20,34.4,23.8,79.9,0.0
2025-03-21,30.6,24.2,94.3,47.8
2025-03-22,33.6,23.2,89.8,0.0
2025-03-23,33.8,23.8,81.9,21.2
2025-03-24,28.2,23,95.8,15.6
2025-03-25,32.2,23.6,89.7,85.4
2025-03-26,28.6,23.4,96.2,24.6
2025-03-27,30.8,23,91.5,0.0
2025-03-28,34.2,23.8,87.1,33.8
2025-03-29,29.6,23.4,94.2,4.2
2025-03-30,33.2,23.8,86.1,2.9
2025-03-31,33.4,23.2,90.9,24.4
