FECHA,NIVEL DEL RIO (M) 06,NIVEL DEL RIO (M) 10,NIVEL DEL RIO (M) 14,NIVEL DEL RIO (M) 18
2020-05-01,9.890,9.880,9.860,9.850
2020-05-02,9.820,9.800,9.790,9.780
2020-05-03,9.750,9.740,9.720,9.710
2020-05-04,9.670,9.670,9.660,9.650
2020-05-05,9.620,9.610,9.600,9.590
2020-05-06,9.560,9.560,9.560,9.560
2020-05-07,9.560,9.540,9.520,9.510
2020-05-08,9.670,9.690,9.710,9.740
2020-05-09,9.850,9.870,9.880,9.890
2020-05-10,9.920,9.930,9.940,9.950
2020-05-11,9.980,9.980,9.960,9.940
2020-05-12,9.900,9.890,9.870,9.850
2020-05-13,9.720,0.000,0.000,0.000
2020-05-15,9.180,0.000,0.000,0.000
2020-05-17,9.010,0.000,0.000,0.000
2020-05-18,8.920,0.000,0.000,0.000
