Fuente: SENAMHI / DRD * Datos sin control de calidad. * El uso de estos datos será de entera responsabilidad del usuario.,Leyenda: * S/D = Sin Datos. * T = Trazas (Precipitación < 0.1 mm/día).
FECHA,NIVEL DEL RIO (M) 06,NIVEL DEL RIO (M) 10,NIVEL DEL RIO (M) 14,NIVEL DEL RIO (M) 18
2025-09-01,5.360,5.360,5.360,5.360
2025-09-02,5.360,5.350,5.340,5.330
2025-09-03,5.260,5.240,5.220,5.180
2025-09-04,5.100,5.090,5.080,5.070
2025-09-05,4.970,4.960,4.950,4.940
2025-09-06,4.900,4.900,4.900,4.900
2025-09-07,4.840,4.860,4.880,4.900
2025-09-08,5.180,5.190,5.200,5.210
2025-09-09,5.180,5.180,5.180,5.180
2025-09-10,5.200,5.210,5.210,5.220
2025-09-11,5.240,5.250,5.250,5.260
2025-09-12,5.310,5.320,5.330,5.340
2025-09-13,5.380,5.380,5.380,5.380
2025-09-14,5.360,5.360,5.360,5.360
2025-09-15,5.330,5.310,5.310,5.300
2025-09-16,5.240,5.230,5.220,5.210
2025-09-17,5.160,5.150,5.140,5.130
2025-09-18,5.060,5.050,5.040,5.030
2025-09-19,4.920,4.910,4.900,4.890
2025-09-20,4.780,4.770,4.760,4.750
2025-09-21,4.700,4.690,4.680,4.670
2025-09-22,4.650,4.650,4.650,4.650
2025-09-23,4.620,4.620,4.620,4.620
2025-09-24,4.620,4.620,4.620,4.620
2025-09-25,4.580,4.570,4.560,4.550
2025-09-26,4.530,4.570,4.610,4.650
2025-09-27,4.880,4.910,4.940,4.970
2025-09-28,5.260,5.310,5.360,5.410
2025-09-29,5.600,5.630,5.660,5.690
2025-09-30,5.740,5.740,5.740,5.740
