Fuente: SENAMHI / DRD * Datos sin control de calidad. * El uso de estos datos será de entera responsabilidad del usuario.,Leyenda: * S/D = Sin Datos. * T = Trazas (Precipitación < 0.1 mm/día).
FECHA,TEMPERATURA_MAX,TEMPERATURA_MIN,HUMEDAD_RELATIVA,PRECIPITACION_TOTAL
2021-07-01,29.8,16.2,S/D,0.0
2021-07-02,30.4,18.8,S/D,0.0
2021-07-03,33,20.2,S/D,0.0
2021-07-04,32.6,21.2,S/D,0.0
2021-07-05,30.8,22,S/D,S/D
2021-07-06,33.2,20.6,S/D,0.0
2021-07-07,33.6,21.2,S/D,1.3
2021-07-08,32.8,22.2,S/D,1.1
2021-07-09,32.6,20.4,S/D,10.0
2021-07-10,31.8,21.6,S/D,0.0
2021-07-11,30.8,20.2,S/D,20.4
2021-07-12,30.2,20.4,S/D,20.8
2021-07-13,31.4,20,S/D,9.5
2021-07-14,30.8,21.6,S/D,3.9
2021-07-15,32.2,22.2,S/D,0.5
2021-07-16,34.6,21.6,S/D,0.3
2021-07-17,30.8,20.4,S/D,0.0
2021-07-18,31.6,21.8,S/D,23.5
2021-07-19,30.2,22.6,S/D,21.0
2021-07-20,29.4,19.8,S/D,1.3
2021-07-21,30.2,20.2,S/D,0.0
2021-07-22,31.4,20.8,S/D,10.3
2021-07-23,30,21.6,S/D,0.2
2021-07-24,33.4,20.6,S/D,5.2
2021-07-25,34,21.8,S/D,13.4
2021-07-26,30.2,20.2,S/D,2.0
2021-07-27,S/D,20.6,S/D,S/D
2021-08-01,30.2,20,S/D,0.0
