Fuente: SENAMHI / DRD * Datos sin control de calidad. * El uso de estos datos será de entera responsabilidad del usuario.,Leyenda: * S/D = Sin Datos. * T = Trazas (Precipitación < 0.1 mm/día).
FECHA,NIVEL DEL RIO (M) 06,NIVEL DEL RIO (M) 10,NIVEL DEL RIO (M) 14,NIVEL DEL RIO (M) 18
2025-03-01,10.410,0.000,0.000,0.000
2025-03-02,10.540,0.000,0.000,0.000
2025-03-03,10.640,0.000,0.000,0.000
2025-03-04,10.720,0.000,0.000,0.000
2025-03-05,10.790,0.000,0.000,0.000
2025-03-06,10.820,10.900,0.000,0.000
2025-03-07,10.900,0.000,0.000,0.000
2025-03-08,10.980,0.000,0.000,0.000
2025-03-09,11.060,0.000,0.000,0.000
2025-03-10,11.130,0.000,0.000,0.000
2025-03-11,11.150,0.000,0.000,0.000
2025-03-12,11.170,0.000,0.000,0.000
2025-03-13,11.180,0.000,0.000,0.000
2025-03-14,11.200,0.000,0.000,0.000
2025-03-15,11.220,0.000,0.000,0.000
2025-03-16,11.260,0.000,0.000,0.000
2025-03-17,11.270,0.000,0.000,0.000
2025-03-18,11.270,0.000,0.000,0.000
2025-03-19,11.280,0.000,0.000,0.000
2025-03-20,11.280,0.000,0.000,0.000
2025-03-21,11.300,0.000,0.000,0.000
2025-03-22,11.320,0.000,0.000,0.000
2025-03-23,11.350,0.000,0.000,0.000
2025-03-24,11.380,0.000,0.000,0.000
2025-03-25,11.420,0.000,0.000,0.000
2025-03-26,11.460,0.000,0.000,0.000
2025-03-27,11.510,0.000,0.000,0.000
2025-03-28,11.540,0.000,0.000,0.000
2025-03-29,11.580,0.000,0.000,0.000
2025-03-30,11.630,0.000,0.000,0.000
2025-03-31,11.670,0.000,0.000,0.000
