Fuente: SENAMHI / DRD * Datos sin control de calidad. * El uso de estos datos será de entera responsabilidad del usuario.,Leyenda: * S/D = Sin Datos. * T = Trazas (Precipitación < 0.1 mm/día).
FECHA,NIVEL DEL RIO (M) 06,NIVEL DEL RIO (M) 10,NIVEL DEL RIO (M) 14,NIVEL DEL RIO (M) 18
2025-11-01,9.570,9.600,9.640,9.680
2025-11-02,9.920,9.960,10.010,10.060
2025-11-03,10.210,10.230,10.260,10.290
2025-11-04,10.360,10.370,10.380,10.400
2025-11-05,10.460,10.470,10.480,10.490
2025-11-06,10.520,10.520,10.530,10.540
2025-11-07,10.570,10.570,10.580,10.580
2025-11-08,10.600,10.600,10.610,10.610
2025-11-09,10.630,10.630,10.640,10.640
2025-11-10,10.700,10.710,10.720,10.720
2025-11-11,10.740,10.750,10.760,10.760
2025-11-12,10.780,10.790,10.800,10.810
2025-11-13,10.840,10.850,10.860,10.860
2025-11-14,10.890,10.890,10.900,10.900
2025-11-15,10.930,10.940,10.950,10.960
2025-11-16,10.980,10.980,10.990,10.990
2025-11-17,11.020,11.020,11.030,11.030
2025-11-18,11.040,11.040,11.050,11.050
2025-11-19,11.040,11.030,11.020,11.010
2025-11-20,10.980,10.970,10.950,10.930
2025-11-21,10.850,10.830,10.800,10.770
2025-11-22,10.690,10.670,10.650,10.620
2025-11-23,10.550,10.530,10.510,10.490
2025-11-24,10.450,10.450,10.440,10.440
2025-11-25,10.450,10.450,10.450,10.440
2025-11-26,10.440,10.450,10.450,10.460
2025-11-27,10.480,10.480,10.490,10.500
2025-11-28,10.520,10.530,10.530,10.540
2025-11-29,10.550,10.550,10.560,10.560
2025-11-30,10.590,10.600,10.610,10.620
