Fuente: SENAMHI / DRD * Datos sin control de calidad. * El uso de estos datos será de entera responsabilidad del usuario.,Leyenda: * S/D = Sin Datos. * T = Trazas (Precipitación < 0.1 mm/día).
FECHA,NIVEL DEL RIO (M) 06,NIVEL DEL RIO (M) 10,NIVEL DEL RIO (M) 14,NIVEL DEL RIO (M) 18
2023-10-01,5.830,5.830,5.830,5.830
2023-10-02,5.840,5.840,5.840,5.840
2023-10-03,5.840,5.840,5.840,5.840
2023-10-04,5.820,5.810,5.800,5.800
2023-10-05,5.780,5.770,5.770,5.750
2023-10-06,5.730,5.720,5.710,5.690
2023-10-07,5.680,5.670,5.670,5.670
2023-10-08,5.650,5.650,5.650,5.650
2023-10-09,5.670,5.730,5.750,5.780
2023-10-10,5.820,5.850,5.880,5.910
2023-10-11,6.010,6.050,6.090,6.150
2023-10-12,6.220,6.250,6.280,6.310
2023-10-13,6.400,6.430,6.460,6.490
2023-10-14,6.610,6.630,6.650,6.670
2023-10-15,6.740,6.770,6.800,6.830
2023-10-16,6.890,6.910,6.940,6.960
2023-10-17,7.030,7.070,7.110,7.150
2023-10-18,7.330,7.400,7.470,7.560
2023-10-19,7.750,7.820,7.870,7.930
2023-10-20,8.080,8.120,8.150,8.180
2023-10-21,8.230,8.240,8.250,8.280
2023-10-22,8.200,8.200,8.200,8.190
2023-10-23,8.130,8.110,8.080,8.060
2023-10-24,7.970,7.940,7.930,7.900
2023-10-25,7.860,7.830,7.830,7.810
2023-10-26,7.750,7.740,7.720,7.720
2023-10-27,7.670,7.650,7.630,7.610
2023-10-28,7.570,7.550,7.530,7.510
2023-10-29,7.450,7.450,7.430,7.400
2023-10-30,7.340,7.330,7.280,7.250
2023-10-31,7.210,7.170,7.150,7.130
