Fuente: SENAMHI / DRD * Datos sin control de calidad. * El uso de estos datos será de entera responsabilidad del usuario.,Leyenda: * S/D = Sin Datos. * T = Trazas (Precipitación < 0.1 mm/día).
FECHA,NIVEL DEL RIO (M) 06,NIVEL DEL RIO (M) 10,NIVEL DEL RIO (M) 14,NIVEL DEL RIO (M) 18
2024-10-01,4.240,4.240,4.240,4.240
2024-10-02,4.240,4.240,4.230,4.220
2024-10-03,4.200,4.200,4.200,4.200
2024-10-04,4.180,4.180,4.180,4.180
2024-10-05,4.180,4.170,4.170,4.170
2024-10-06,4.170,4.170,4.170,4.170
2024-10-07,4.170,4.180,4.180,4.210
2024-10-08,4.280,4.350,4.370,4.400
2024-10-09,4.450,4.470,4.500,4.530
2024-10-10,4.580,4.650,4.680,4.710
2024-10-11,4.760,4.780,4.800,4.830
2024-10-12,4.870,4.890,4.920,4.920
2024-10-13,4.920,4.920,4.920,4.920
2024-10-14,4.920,4.920,4.920,4.920
2024-10-15,4.920,4.920,4.920,4.920
2024-10-16,4.900,4.910,4.910,4.910
2024-10-17,4.920,4.930,4.930,4.930
2024-10-18,4.930,4.930,4.930,4.930
2024-10-19,4.940,4.940,4.940,4.950
2024-10-20,4.960,4.960,4.960,4.970
2024-10-21,5.030,5.050,5.050,5.060
2024-10-22,5.080,5.090,5.100,5.120
2024-10-23,5.140,5.140,5.150,5.170
2024-10-24,5.170,5.170,5.190,5.210
2024-10-25,5.250,5.250,5.270,5.270
2024-10-26,5.250,5.250,5.240,5.240
2024-10-27,5.210,5.210,5.210,5.210
2024-10-28,5.240,5.250,5.250,5.280
2024-10-29,5.360,5.390,5.430,5.470
2024-10-30,5.580,5.610,5.640,5.700
2024-10-31,5.780,5.860,5.940,5.970
