Fuente: SENAMHI / DRD * Datos sin control de calidad. * El uso de estos datos será de entera responsabilidad del usuario.,Leyenda: * S/D = Sin Datos. * T = Trazas (Precipitación < 0.1 mm/día).
FECHA,NIVEL DEL RIO (M) 06,NIVEL DEL RIO (M) 10,NIVEL DEL RIO (M) 14,NIVEL DEL RIO (M) 18
2018-04-01,9.320,9.300,9.290,9.290
2018-04-02,9.310,9.310,9.320,9.340
2018-04-03,9.360,9.370,9.380,9.380
2018-04-04,9.540,9.570,9.610,9.650
2018-04-05,9.750,9.770,9.800,9.830
2018-04-06,9.870,9.900,9.910,9.910
2018-04-07,9.940,9.950,9.960,9.960
2018-04-08,9.970,9.970,9.970,9.980
2018-04-09,9.980,9.980,9.980,9.990
2018-04-10,10.010,10.010,10.010,10.020
2018-04-11,10.050,10.050,10.050,10.060
2018-04-12,10.080,10.090,10.090,10.100
2018-04-13,10.110,10.120,10.130,10.130
2018-04-14,10.130,10.130,10.130,10.140
2018-04-15,10.150,10.150,10.160,10.170
2018-04-16,10.190,10.190,10.190,10.200
2018-04-17,10.200,10.200,10.200,10.200
2018-04-18,10.190,10.180,10.180,0.000
2018-04-19,10.160,10.160,10.160,10.150
2018-04-20,10.120,10.110,10.110,10.110
2018-04-21,10.100,10.070,10.010,9.980
2018-04-22,9.920,9.880,9.860,9.840
2018-04-23,9.750,9.730,9.720,9.800
2018-04-24,9.780,9.780,9.770,9.770
2018-04-25,9.740,9.740,9.770,9.650
2018-04-26,9.600,9.560,9.570,9.570
2018-04-27,9.530,9.520,9.510,9.500
2018-04-28,9.490,9.480,9.480,9.470
2018-04-29,9.420,9.410,9.370,9.320
2018-04-30,9.240,9.230,9.190,9.170
