FECHA,NIVEL DEL RIO (M) 06,NIVEL DEL RIO (M) 10,NIVEL DEL RIO (M) 14,NIVEL DEL RIO (M) 18
2023-12-01,7.800,7.760,7.760,7.720
2023-12-02,7.700,7.700,7.700,7.780
2023-12-03,7.780,7.760,7.760,7.760
2023-12-04,7.690,7.690,7.690,7.690
2023-12-05,7.700,7.700,7.720,7.740
2023-12-06,7.790,7.810,7.850,7.890
2023-12-07,7.920,7.950,7.950,7.950
2023-12-08,7.860,7.830,7.810,7.800
2023-12-09,7.760,7.760,7.760,7.760
2023-12-10,7.690,7.720,7.750,7.780
2023-12-11,7.780,7.790,7.790,7.810
2023-12-12,7.840,7.770,7.720,7.620
2023-12-13,7.480,7.480,7.460,7.460
2023-12-14,7.450,7.400,7.370,7.330
2023-12-15,7.300,7.290,7.280,7.250
2023-12-16,7.160,7.160,7.150,7.150
