Fuente: SENAMHI / DRD * Datos sin control de calidad. * El uso de estos datos será de entera responsabilidad del usuario.,Leyenda: * S/D = Sin Datos. * T = Trazas (Precipitación < 0.1 mm/día).
FECHA,NIVEL DEL RIO (M) 06,NIVEL DEL RIO (M) 10,NIVEL DEL RIO (M) 14,NIVEL DEL RIO (M) 18
2019-01-01,9.200,9.200,9.200,9.200
2019-01-02,9.190,9.200,9.200,9.190
2019-01-03,9.190,9.200,9.220,9.240
2019-01-04,9.240,9.210,9.180,9.150
2019-01-05,9.130,9.100,9.070,9.050
2019-01-06,9.010,8.980,8.940,8.910
2019-01-07,8.870,8.830,8.790,8.750
2019-01-08,8.700,8.660,8.620,8.580
2019-01-09,8.460,8.430,8.400,8.360
2019-01-10,8.270,8.250,8.220,8.190
2019-01-11,8.110,8.090,8.070,8.060
2019-01-12,8.040,8.010,7.970,7.990
2019-01-13,8.020,8.020,8.020,8.020
2019-01-14,8.030,8.030,8.030,8.030
2019-01-15,8.070,8.080,8.100,8.130
2019-01-16,8.210,8.230,8.260,8.310
2019-01-17,8.370,8.390,8.420,8.450
2019-01-18,8.530,8.550,8.560,8.630
2019-01-19,8.740,8.760,8.810,8.820
2019-01-20,8.940,8.990,8.980,9.030
2019-01-21,9.120,9.140,9.180,9.210
2019-01-22,9.320,9.340,9.370,9.370
2019-01-23,9.440,9.480,9.500,9.530
2019-01-24,9.610,9.610,9.610,9.680
2019-01-25,9.730,9.730,9.780,9.780
2019-01-26,9.860,9.860,9.880,9.880
2019-01-27,9.940,9.950,9.970,10.010
2019-01-28,10.040,10.050,10.050,10.070
2019-01-29,10.110,10.110,10.120,10.120
2019-01-30,10.160,10.160,10.180,10.190
2019-01-31,10.230,10.230,10.230,10.250
