FECHA,NIVEL DEL RIO (M) 06,NIVEL DEL RIO (M) 10,NIVEL DEL RIO (M) 14,NIVEL DEL RIO (M) 18
2020-08-01,6.430,6.440,6.460,6.460
2020-08-02,6.350,6.360,6.330,6.300
2020-08-03,6.280,6.280,6.270,6.250
2020-08-04,6.360,6.370,6.380,6.380
2020-08-05,6.400,6.400,6.410,6.420
2020-08-06,6.500,6.510,6.450,6.440
2020-08-07,6.420,6.330,6.310,6.280
2020-08-08,6.040,6.030,6.020,5.990
2020-08-09,5.750,5.730,5.700,5.670
2020-08-10,5.450,5.430,5.370,5.340
2020-08-11,5.200,5.160,5.140,5.130
2020-08-12,5.050,5.010,4.970,4.970
2020-08-13,4.950,4.940,4.930,4.930
2020-08-14,4.750,4.720,4.700,4.680
2020-08-15,4.600,4.520,4.400,4.330
