Fuente: SENAMHI / DRD * Datos sin control de calidad. * El uso de estos datos será de entera responsabilidad del usuario.,Leyenda: * S/D = Sin Datos. * T = Trazas (Precipitación < 0.1 mm/día).
FECHA,NIVEL DEL RIO (M) 06,NIVEL DEL RIO (M) 10,NIVEL DEL RIO (M) 14,NIVEL DEL RIO (M) 18
2023-08-01,6.000,5.580,5.580,5.580
2023-08-02,5.560,5.540,5.520,5.500
2023-08-03,5.460,5.430,5.390,5.350
2023-08-04,5.290,5.200,5.160,4.990
2023-08-05,4.900,4.850,4.500,4.490
2023-08-06,4.300,4.260,4.230,4.190
2023-08-07,4.130,4.100,4.060,3.900
2023-08-08,3.820,3.790,3.740,3.700
2023-08-09,3.650,3.620,3.580,3.560
2023-08-10,3.490,3.470,3.450,3.400
2023-08-11,3.360,2.300,2.290,2.280
2023-08-12,2.200,2.190,2.160,2.140
2023-08-13,2.080,2.060,2.050,2.020
2023-08-14,1.990,1.970,1.950,1.900
2023-08-15,1.850,1.830,1.800,1.780
2023-08-16,1.700,1.690,1.650,1.600
2023-08-17,1.570,1.550,1.540,1.500
2023-08-18,1.500,1.470,1.450,1.430
2023-08-19,1.390,1.360,1.350,1.350
2023-08-20,1.360,1.370,1.380,1.400
2023-08-21,1.410,1.410,1.420,1.430
2023-08-22,1.440,1.440,1.450,1.450
2023-08-23,1.470,1.480,1.490,1.490
2023-08-24,1.500,1.500,1.510,1.510
2023-08-25,1.530,1.540,1.550,1.560
2023-08-26,1.580,1.580,1.580,1.580
2023-08-27,1.570,1.580,1.600,1.600
2023-08-28,1.630,1.630,1.640,1.650
2023-08-29,1.670,1.680,1.690,1.700
2023-08-30,1.730,1.740,1.760,1.770
2023-08-31,1.790,1.790,1.800,1.820
