Fuente: SENAMHI / DRD * Datos sin control de calidad. * El uso de estos datos será de entera responsabilidad del usuario.,Leyenda: * S/D = Sin Datos. * T = Trazas (Precipitación < 0.1 mm/día).
FECHA,NIVEL DEL RIO (M) 06,NIVEL DEL RIO (M) 10,NIVEL DEL RIO (M) 14,NIVEL DEL RIO (M) 18
2019-12-01,12.830,12.800,12.790,12.760
2019-12-02,12.740,12.690,12.660,12.620
2019-12-03,12.570,12.550,12.540,12.550
2019-12-04,12.550,12.560,12.590,12.320
2019-12-05,12.640,12.660,12.660,12.680
2019-12-06,12.730,12.750,12.760,12.800
2019-12-07,12.850,12.890,12.940,12.980
2019-12-08,13.100,13.130,13.170,13.220
2019-12-09,13.280,13.320,13.320,13.320
2019-12-10,13.350,13.340,13.320,13.300
2019-12-11,13.300,13.250,13.240,13.230
2019-12-12,13.170,13.100,13.040,12.950
2019-12-13,12.920,12.840,12.750,12.600
2019-12-14,12.530,12.460,12.390,12.270
2019-12-15,12.200,12.120,12.100,12.060
2019-12-16,12.130,12.150,12.160,12.160
2019-12-17,12.180,12.220,12.240,12.250
2019-12-18,12.280,12.280,12.260,12.260
2019-12-19,12.270,12.290,12.310,12.340
2019-12-20,12.830,12.970,13.240,13.460
2019-12-21,13.440,13.480,13.530,13.700
2019-12-22,13.670,13.700,13.740,13.760
2019-12-23,13.800,13.820,13.810,13.850
2019-12-24,13.780,13.740,13.750,13.750
2019-12-25,13.700,13.700,13.700,13.690
2019-12-26,13.670,13.660,13.630,13.630
2019-12-27,13.630,13.600,13.540,13.510
2019-12-28,13.460,13.420,13.400,13.400
2019-12-29,13.370,13.380,13.450,13.530
2019-12-30,13.660,13.700,13.790,13.880
2019-12-31,13.850,13.820,13.770,13.720
