Fuente: SENAMHI / DRD * Datos sin control de calidad. * El uso de estos datos será de entera responsabilidad del usuario.,Leyenda: * S/D = Sin Datos. * T = Trazas (Precipitación < 0.1 mm/día).
FECHA,NIVEL DEL RIO (M) 06,NIVEL DEL RIO (M) 10,NIVEL DEL RIO (M) 14,NIVEL DEL RIO (M) 18
2025-09-01,6.830,6.810,6.790,6.770
2025-09-02,6.600,6.550,6.490,6.440
2025-09-03,6.270,6.210,6.160,6.100
2025-09-04,5.960,5.900,5.860,5.800
2025-09-05,5.680,5.650,5.600,5.570
2025-09-06,5.540,5.550,5.560,5.600
2025-09-07,5.690,5.720,5.750,5.790
2025-09-08,5.820,5.820,5.820,5.820
2025-09-09,5.810,5.810,5.810,5.820
2025-09-10,5.880,5.900,5.940,5.960
2025-09-11,6.060,6.080,6.100,6.100
2025-09-12,6.080,6.080,6.070,6.050
2025-09-13,5.970,5.950,5.940,5.930
2025-09-14,5.990,6.060,6.120,6.180
2025-09-15,6.420,6.500,6.560,6.620
2025-09-16,6.720,6.750,6.760,6.760
2025-09-17,6.730,6.710,6.690,6.670
2025-09-18,6.580,6.550,6.510,6.480
2025-09-19,6.400,6.380,6.350,6.310
2025-09-20,6.210,6.170,6.130,6.110
2025-09-21,6.020,5.990,5.970,5.950
2025-09-22,5.880,5.860,5.830,5.810
2025-09-23,5.770,5.760,5.760,5.760
2025-09-24,5.760,5.760,5.760,5.750
2025-09-25,5.710,5.700,5.690,5.670
2025-09-26,5.630,5.620,5.610,5.610
2025-09-27,5.640,5.660,5.680,5.700
2025-09-28,5.770,5.800,5.840,5.900
2025-09-29,6.150,6.240,6.350,6.460
2025-09-30,6.770,6.870,6.960,7.020
