Fuente: SENAMHI / DRD * Datos sin control de calidad. * El uso de estos datos será de entera responsabilidad del usuario.,Leyenda: * S/D = Sin Datos. * T = Trazas (Precipitación < 0.1 mm/día).
FECHA,NIVEL DEL RIO (M) 06,NIVEL DEL RIO (M) 10,NIVEL DEL RIO (M) 14,NIVEL DEL RIO (M) 18
2023-11-01,4.760,4.760,4.730,4.710
2023-11-02,4.690,4.680,4.650,4.640
2023-11-03,4.650,4.670,4.770,4.930
2023-11-04,5.290,5.310,5.380,5.430
2023-11-05,5.460,5.460,5.450,5.440
2023-11-06,5.350,5.330,5.300,5.260
2023-11-07,5.250,5.250,5.270,5.300
2023-11-08,5.360,5.370,5.390,5.440
2023-11-09,5.690,5.850,5.900,6.050
2023-11-10,6.180,6.290,6.320,6.280
2023-11-11,6.240,6.230,6.200,6.160
2023-11-12,6.100,6.090,6.020,5.990
2023-11-13,5.900,5.890,5.840,5.820
2023-11-14,5.860,5.880,5.960,6.070
2023-11-15,6.310,6.360,6.420,6.500
2023-11-16,6.610,6.620,6.640,6.650
2023-11-17,6.590,6.580,6.550,6.530
2023-11-18,6.460,6.460,6.460,6.430
2023-11-19,6.330,6.310,6.250,6.200
2023-11-20,6.120,6.100,6.100,6.130
2023-11-21,6.200,6.200,6.220,6.250
2023-11-22,6.210,6.200,6.180,6.110
2023-11-23,5.990,5.980,5.980,5.880
2023-11-24,5.800,5.780,5.770,5.740
2023-11-25,5.780,5.800,5.840,5.870
2023-11-26,6.180,6.260,6.350,6.440
2023-11-27,6.530,6.530,6.560,6.540
2023-11-28,6.540,6.670,6.700,6.780
2023-11-29,7.090,7.180,7.250,7.350
2023-11-30,7.430,7.440,7.440,7.450
