Fuente: SENAMHI / DRD * Datos sin control de calidad. * El uso de estos datos será de entera responsabilidad del usuario.,Leyenda: * S/D = Sin Datos. * T = Trazas (Precipitación < 0.1 mm/día).
FECHA,NIVEL DEL RIO (M) 06,NIVEL DEL RIO (M) 10,NIVEL DEL RIO (M) 14,NIVEL DEL RIO (M) 18
2022-04-01,7.880,7.900,7.920,7.940
2022-04-02,7.980,8.020,8.040,8.060
2022-04-03,8.120,8.140,8.160,8.180
2022-04-04,8.220,8.180,8.140,8.120
2022-04-05,8.100,8.080,8.060,8.040
2022-04-06,8.020,8.080,8.140,8.200
2022-04-07,8.420,8.460,8.480,8.520
2022-04-08,8.580,8.590,8.600,8.620
2022-04-09,8.740,8.760,8.790,8.840
2022-04-10,8.880,8.900,8.920,8.940
2022-04-11,9.020,9.040,9.060,9.080
2022-04-12,9.100,9.120,9.140,9.160
2022-04-13,9.180,9.160,9.140,9.120
2022-04-14,9.080,9.080,9.070,9.060
2022-04-15,9.040,8.980,8.960,8.940
2022-04-16,8.880,8.880,8.880,8.880
2022-04-17,8.900,8.920,8.930,8.940
2022-04-18,8.940,8.960,8.970,8.980
2022-04-19,9.020,9.040,9.060,9.080
2022-04-20,9.080,9.090,9.100,9.120
2022-04-21,9.160,9.180,9.200,9.220
2022-04-22,9.280,9.300,9.320,9.340
2022-04-23,9.400,9.420,9.440,9.460
2022-04-24,9.480,9.500,9.520,9.540
2022-04-25,9.540,9.540,9.540,9.540
2022-04-26,9.540,9.520,9.500,9.480
2022-04-27,9.420,9.410,9.410,9.400
2022-04-28,9.360,9.350,9.340,9.330
2022-04-29,9.280,9.320,9.360,9.400
2022-04-30,9.480,9.480,9.480,9.480
