FECHA,NIVEL DEL RIO (M) 06,NIVEL DEL RIO (M) 10,NIVEL DEL RIO (M) 14,NIVEL DEL RIO (M) 18
2025-08-01,6.730,6.700,6.680,6.660
2025-08-02,6.590,6.560,6.540,6.520
2025-08-03,6.460,6.440,6.420,6.400
2025-08-04,6.340,6.320,6.300,6.280
2025-08-05,6.220,6.210,6.200,6.190
2025-08-06,6.170,6.150,6.130,6.120
2025-08-07,6.080,6.060,6.040,6.030
2025-08-08,5.970,5.950,5.940,5.930
2025-08-09,5.890,5.870,5.850,5.840
2025-08-10,5.790,5.780,5.770,5.770
2025-08-11,5.750,5.750,5.750,5.750
2025-08-12,5.770,5.790,5.800,5.810
2025-08-13,5.840,5.840,5.840,5.840
2025-08-14,5.850,5.840,5.830,5.820
2025-08-15,5.780,5.750,5.730,5.710
2025-08-16,5.640,5.620,,
