Fuente: SENAMHI / DRD * Datos sin control de calidad. * El uso de estos datos será de entera responsabilidad del usuario.,Leyenda: * S/D = Sin Datos. * T = Trazas (Precipitación < 0.1 mm/día).
FECHA,NIVEL DEL RIO (M) 06,NIVEL DEL RIO (M) 10,NIVEL DEL RIO (M) 14,NIVEL DEL RIO (M) 18
2025-09-01,4.040,4.030,3.990,3.980
2025-09-02,3.910,3.910,3.910,3.910
2025-09-03,3.910,3.910,3.920,3.920
2025-09-04,3.930,3.930,3.930,3.930
2025-09-05,3.960,3.960,3.950,3.940
2025-09-06,3.920,3.900,3.890,3.890
2025-09-07,3.870,3.840,3.820,3.800
2025-09-08,3.730,3.710,3.690,3.670
2025-09-09,3.610,3.590,3.580,3.570
2025-09-10,3.540,3.550,3.560,3.570
2025-09-11,3.590,3.570,3.550,3.530
2025-09-12,3.530,3.530,3.530,3.530
2025-09-13,3.560,3.570,3.580,3.590
2025-09-14,3.620,3.610,3.600,3.600
2025-09-15,3.640,3.640,3.640,3.640
2025-09-16,3.640,3.650,3.660,3.670
2025-09-17,3.680,3.700,3.710,3.720
2025-09-18,3.750,3.760,3.770,3.780
2025-09-19,3.820,3.850,3.880,3.900
2025-09-20,3.990,3.990,3.990,3.990
2025-09-21,4.050,4.050,4.050,4.050
2025-09-22,4.020,4.010,3.990,3.990
2025-09-23,3.960,3.930,3.910,3.890
2025-09-24,3.800,3.790,3.780,3.770
2025-09-25,3.750,3.750,3.750,3.750
2025-09-26,3.750,3.740,3.770,3.770
2025-09-27,3.720,3.700,3.690,3.680
2025-09-28,3.650,3.640,3.630,3.620
2025-09-29,3.600,3.600,3.590,3.580
2025-09-30,3.560,3.560,3.560,3.560
