Fuente: SENAMHI / DRD * Datos sin control de calidad. * El uso de estos datos será de entera responsabilidad del usuario.,Leyenda: * S/D = Sin Datos. * T = Trazas (Precipitación < 0.1 mm/día).
FECHA,NIVEL DEL RIO (M) 06,NIVEL DEL RIO (M) 10,NIVEL DEL RIO (M) 14,NIVEL DEL RIO (M) 18
2022-09-01,2.980,2.950,2.920,2.870
2022-09-02,2.780,2.750,2.720,2.690
2022-09-03,2.600,2.580,2.560,2.530
2022-09-04,2.460,2.440,2.430,2.410
2022-09-05,2.320,2.300,2.290,2.280
2022-09-06,2.260,2.260,2.280,2.290
2022-09-07,2.250,2.240,2.200,2.190
2022-09-08,2.170,2.160,2.150,2.130
2022-09-09,2.100,2.030,1.980,1.940
2022-09-10,1.810,1.770,1.730,1.690
2022-09-11,1.600,1.580,1.560,1.540
2022-09-12,1.400,1.380,1.350,1.330
2022-09-13,1.280,1.260,1.240,1.210
2022-09-14,1.140,1.120,1.100,1.080
2022-09-15,1.020,0.980,0.970,0.950
2022-09-16,0.910,0.900,0.880,0.860
2022-09-17,0.880,0.880,0.870,0.850
2022-09-18,0.810,0.790,0.780,0.760
2022-09-19,0.720,0.710,0.700,0.690
2022-09-20,0.740,0.750,0.760,0.770
2022-09-21,0.890,0.920,0.940,0.980
2022-09-22,1.100,1.130,1.160,1.200
2022-09-23,1.220,1.220,1.210,1.200
2022-09-24,1.220,1.230,1.240,1.230
2022-09-25,1.190,1.170,1.150,1.130
2022-09-26,1.110,1.110,1.100,1.100
2022-09-27,1.080,1.080,1.080,1.070
2022-09-28,1.050,1.050,1.050,1.040
2022-09-29,1.120,1.130,1.140,1.150
2022-09-30,1.160,1.160,1.150,1.130
