Fuente: SENAMHI / DRD * Datos sin control de calidad. * El uso de estos datos será de entera responsabilidad del usuario.,Leyenda: * S/D = Sin Datos. * T = Trazas (Precipitación < 0.1 mm/día).
FECHA,NIVEL DEL RIO (M) 06,NIVEL DEL RIO (M) 10,NIVEL DEL RIO (M) 14,NIVEL DEL RIO (M) 18
2025-11-01,8.850,8.830,8.870,8.870
2025-11-02,8.980,9.020,9.040,9.090
2025-11-03,9.110,9.250,9.300,9.360
2025-11-04,9.500,9.570,9.610,9.680
2025-11-05,9.790,9.820,9.860,9.890
2025-11-06,9.980,10.020,10.050,10.090
2025-11-07,10.150,10.180,10.200,10.220
2025-11-08,10.250,10.260,10.280,10.300
2025-11-09,10.310,10.330,10.350,10.370
2025-11-10,10.380,10.380,10.400,10.410
2025-11-11,10.440,10.440,10.450,10.450
2025-11-12,10.480,10.470,10.470,10.480
2025-11-13,10.460,10.450,10.450,10.440
2025-11-14,10.400,10.390,10.390,10.380
2025-11-15,10.380,10.380,10.380,10.380
2025-11-16,10.360,10.360,10.350,10.380
2025-11-17,10.400,10.410,10.420,10.420
2025-11-18,10.450,10.450,10.460,10.470
2025-11-19,10.500,10.500,10.510,10.520
2025-11-20,10.550,10.570,10.600,10.620
2025-11-21,10.650,10.650,10.690,10.690
2025-11-22,10.730,10.730,10.720,10.750
2025-11-23,10.830,10.840,10.860,10.880
2025-11-24,10.920,10.940,10.970,11.000
2025-11-25,11.020,11.040,11.070,11.090
2025-11-26,11.120,11.120,11.120,11.130
2025-11-27,11.140,11.180,11.210,11.230
2025-11-28,11.290,11.310,11.320,11.380
2025-11-29,11.410,11.410,11.450,11.460
2025-11-30,11.480,11.480,11.500,11.530
