FECHA,TEMPERATURA_MAX,TEMPERATURA_MIN,HUMEDAD_RELATIVA,PRECIPITACION_TOTAL
2017-04-01,32.6,20,87.0,3.0
2017-04-02,31.6,21,89.5,0.0
2017-04-03,30.4,21.2,91.2,0.0
2017-04-04,32,21,88.3,9.4
2017-04-05,31.4,20,87.2,6.0
2017-04-06,31.8,21,90.8,12.4
2017-04-07,32.2,20,82.8,8.6
2017-04-08,31,20.2,88.8,1.2
2017-04-09,30,21,90.3,31.8
2017-04-10,32,19,83.5,78.8
2017-04-11,25.6,19.2,94.5,24.5
2017-04-12,29,18,91.9,0.0
2017-04-13,30.4,19.2,88.9,0.0
2017-04-14,32.4,19.4,87.8,0.0
2017-04-15,32.2,19.8,85.8,60.0
2017-04-16,32,20,81.6,15.0
2017-04-17,28,20,93.1,10.4
2017-04-18,28.2,19,,
