Fuente: SENAMHI / DRD * Datos sin control de calidad. * El uso de estos datos será de entera responsabilidad del usuario.,Leyenda: * S/D = Sin Datos. * T = Trazas (Precipitación < 0.1 mm/día).
FECHA,TEMPERATURA_MAX,TEMPERATURA_MIN,HUMEDAD_RELATIVA,PRECIPITACION_TOTAL
2026-02-01,32.2,24,82.9,1.2
2026-02-02,33,21.8,77.3,0.0
2026-02-03,32.4,24,86.1,15.0
2026-02-04,33.8,23,83.3,7.2
2026-02-05,33,22.2,84.8,0.0
2026-02-06,34,23.4,77.0,0.0
2026-02-07,34.4,24,80.3,0.0
2026-02-08,26.4,24,93.4,58.9
2026-02-09,33,21,80.3,0.0
2026-02-10,33.2,23.6,87.5,0.0
2026-02-11,30.4,23.8,84.5,0.0
2026-02-12,31.6,23,86.6,0.6
2026-02-13,32.6,22.6,87.6,0.0
2026-02-14,30,23.4,92.6,3.0
2026-02-15,30.4,22.4,90.0,0.0
2026-02-16,34.2,23,84.2,1.8
2026-02-17,31.2,22.8,86.1,0.0
2026-02-18,34.8,23,83.8,66.4
2026-02-19,33.4,22,86.2,5.6
2026-02-20,32.6,24,95.2,15.5
2026-02-21,30,23,S/D,29.4
2026-02-22,33.2,20.8,85.2,0.0
2026-02-23,31,23,88.2,7.5
2026-02-24,33.6,23.2,80.0,0.0
2026-02-25,33.4,23.6,84.6,0.2
2026-02-26,32,23.2,85.1,0.0
2026-02-27,34.6,22.2,77.9,0.0
2026-02-28,33.8,23.2,79.9,1.8
2026-03-01,34,23.6,85.2,51.0
