Fuente: SENAMHI / DRD * Datos sin control de calidad. * El uso de estos datos será de entera responsabilidad del usuario.,Leyenda: * S/D = Sin Datos. * T = Trazas (Precipitación < 0.1 mm/día).
FECHA,NIVEL DEL RIO (M) 06,NIVEL DEL RIO (M) 10,NIVEL DEL RIO (M) 14,NIVEL DEL RIO (M) 18
2024-08-01,8.900,8.900,8.850,8.800
2024-08-02,8.800,8.800,8.800,8.800
2024-08-03,8.900,8.900,8.850,8.850
2024-08-04,9.100,9.100,9.100,9.000
2024-08-05,9.200,9.200,9.150,9.100
2024-08-06,9.100,9.100,9.000,9.000
2024-08-07,9.000,9.000,9.100,9.300
2024-08-08,11.000,11.050,10.400,9.500
2024-08-09,9.600,9.500,9.200,9.200
2024-08-10,9.100,9.100,9.050,9.050
2024-08-11,9.050,9.050,9.000,9.000
2024-08-12,9.000,9.000,9.000,9.000
2024-08-13,8.950,8.950,8.900,8.900
2024-08-14,8.900,8.900,8.900,8.900
2024-08-15,8.900,8.900,8.850,8.850
2024-08-16,8.850,8.850,8.850,8.800
2024-08-17,8.800,8.800,8.800,8.800
2024-08-18,8.800,8.800,8.750,8.750
2024-08-19,8.800,8.800,8.750,8.750
2024-08-20,8.750,8.750,8.700,8.700
2024-08-21,8.700,8.700,8.700,8.700
2024-08-22,8.700,8.700,8.700,8.700
2024-08-23,8.700,8.700,8.650,8.650
2024-08-24,8.800,8.900,8.900,8.850
2024-08-25,8.800,8.800,8.750,8.750
2024-08-26,8.750,8.750,8.700,8.700
2024-08-27,8.700,8.700,8.700,8.700
2024-08-28,8.700,8.700,8.650,8.650
2024-08-29,8.650,8.650,8.600,8.600
2024-08-30,8.600,8.600,8.600,8.600
2024-08-31,8.600,8.600,8.600,8.600
