Fuente: SENAMHI / DRD * Datos sin control de calidad. * El uso de estos datos será de entera responsabilidad del usuario.,Leyenda: * S/D = Sin Datos. * T = Trazas (Precipitación < 0.1 mm/día).
FECHA,TEMPERATURA_MAX,TEMPERATURA_MIN,HUMEDAD_RELATIVA,PRECIPITACION_TOTAL
2019-11-01,30,22.5,89.1,0.0
2019-11-02,35,23.2,86.4,0.0
2019-11-03,34,23.6,88.5,0.0
2019-11-04,34,24.6,90.4,0.0
2019-11-05,35,24.2,88.3,0.0
2019-11-06,34.6,23.6,90.3,6.8
2019-11-07,27.6,23.2,94.9,8.4
2019-11-08,33.6,22.8,91.2,0.0
2019-11-09,30,23,91.0,0.0
2019-11-10,28.4,21.2,92.7,0.0
2019-11-11,30.2,22.4,91.5,0.0
2019-11-12,33.6,22.6,86.9,0.0
2019-11-13,35,24.2,86.2,7.2
2019-11-14,28.8,25,91.0,64.0
2019-11-15,25,21.2,92.0,35.0
2019-11-16,29,21.4,92.3,0.0
2019-11-17,30,23,91.9,0.0
2019-11-18,35.4,22.6,89.4,0.0
2019-11-19,33.4,24,90.6,9.6
2019-11-20,32.4,22,90.5,0.0
2019-11-21,32,24.6,89.9,0.0
2019-11-22,33.6,24.4,91.1,4.0
2019-11-23,26.8,24.8,96.3,40.4
2019-11-24,31,21.6,90.2,0.0
2019-11-25,33.4,23.2,89.7,0.0
2019-11-26,34,23.6,83.9,0.0
2019-11-27,32.6,25.2,87.0,16.4
2019-11-28,24.8,24.4,96.1,33.0
2019-11-29,27,22,94.2,0.0
2019-11-30,28,22.2,91.3,18.0
