Fuente: SENAMHI / DRD * Datos sin control de calidad. * El uso de estos datos será de entera responsabilidad del usuario.,Leyenda: * S/D = Sin Datos. * T = Trazas (Precipitación < 0.1 mm/día).
FECHA,TEMPERATURA_MAX,TEMPERATURA_MIN,HUMEDAD_RELATIVA,PRECIPITACION_TOTAL
2024-06-01,26,20,92.0,0.0
2024-06-02,28,21,93.2,0.0
2024-06-03,30.5,19.5,88.2,0.0
2024-06-04,31.8,20.5,87.6,0.0
2024-06-05,32.2,21.5,86.1,0.0
2024-06-06,31,21.2,87.8,0.0
2024-06-07,33.5,22.5,86.9,0.0
2024-06-08,33.8,23,86.8,0.0
2024-06-09,29.8,22.8,89.7,8.6
2024-06-10,32,22,89.5,1.6
2024-06-11,30.8,23.5,87.9,3.6
2024-06-12,32.2,22.8,87.8,0.0
2024-06-13,31,23,86.6,6.5
2024-06-14,31.8,23.6,89.0,48.5
2024-06-15,32.4,22.5,87.7,35.8
2024-06-16,33.5,22.8,85.9,0.0
2024-06-17,32,23,89.1,14.3
2024-06-18,33,22.5,87.5,2.6
2024-06-19,32.2,23.2,84.8,31.7
2024-06-20,26,22,94.4,10.6
2024-06-21,28,22.6,91.8,0.0
2024-06-22,31,23,87.6,7.5
2024-06-23,31.2,24,88.6,0.0
2024-06-24,33,23.8,86.4,0.0
2024-06-25,31.8,22,87.6,17.5
2024-06-26,32.5,23.5,85.5,0.0
2024-06-27,32,22.5,89.1,0.0
2024-06-28,32.8,24,87.9,15.2
2024-06-29,27,23,94.5,0.0
2024-06-30,28.5,22.8,93.5,0.0
