Fuente: SENAMHI / DRD * Datos sin control de calidad. * El uso de estos datos será de entera responsabilidad del usuario.,Leyenda: * S/D = Sin Datos. * T = Trazas (Precipitación < 0.1 mm/día).
FECHA,TEMPERATURA_MAX,TEMPERATURA_MIN,HUMEDAD_RELATIVA,PRECIPITACION_TOTAL
2018-11-01,32.2,19.4,S/D,0.0
2018-11-02,34.2,19,S/D,0.0
2018-11-03,32.8,20.4,S/D,0.0
2018-11-04,33.8,20,S/D,S/D
2018-11-05,34.2,S/D,S/D,0.0
2018-11-06,31.8,18.2,S/D,0.0
2018-11-07,30.4,21.6,S/D,14.7
2018-11-08,31.6,22,S/D,8.4
2018-11-09,31.8,20,S/D,0.0
2018-11-10,34.6,21.8,S/D,0.0
2018-11-11,34,20,S/D,2.8
2018-11-12,32.8,22,S/D,0.0
2018-11-13,25.8,18.6,S/D,23.7
2018-11-14,30.4,21,S/D,0.3
2018-11-15,28.6,20.6,S/D,32.2
2018-11-16,31.8,19.6,S/D,0.0
2018-11-17,33.6,21,S/D,0.0
2018-11-18,32.4,20.4,S/D,2.2
2018-11-19,S/D,21,S/D,S/D
2018-11-20,31.6,19.8,S/D,0.0
2018-11-21,29.6,19.6,S/D,19.6
2018-11-22,33,20.6,S/D,0.0
2018-11-23,29.4,18.4,S/D,6.4
2018-11-24,30.6,19.8,S/D,28.4
2018-11-25,29.6,18.8,S/D,10.4
2018-11-26,31.4,18,S/D,0.0
2018-11-27,S/D,19.4,S/D,0.0
2018-12-01,34.4,21,S/D,0.0
