Fuente: SENAMHI / DRD * Datos sin control de calidad. * El uso de estos datos será de entera responsabilidad del usuario.,Leyenda: * S/D = Sin Datos. * T = Trazas (Precipitación < 0.1 mm/día).
FECHA,TEMPERATURA_MAX,TEMPERATURA_MIN,HUMEDAD_RELATIVA,PRECIPITACION_TOTAL
2017-01-01,27,22.7,95.2,30.3
2017-01-02,32.2,21.6,89.4,0.0
2017-01-03,33.9,22.5,88.5,31.1
2017-01-04,28.4,23,94.2,29.1
2017-01-05,26.2,20.5,96.7,32.1
2017-01-06,30.4,21.6,89.5,3.0
2017-01-07,32.3,21.7,86.4,0.0
2017-01-08,33.2,22.4,86.1,17.7
2017-01-09,30.2,23.4,91.3,70.3
2017-01-10,24.4,22.2,96.1,74.6
2017-01-11,31.4,20.9,89.0,0.0
2017-01-12,28.9,21.5,92.9,23.4
2017-01-13,30.8,21.6,90.6,0.0
2017-01-14,32.6,22.9,85.0,0.0
2017-01-15,31.4,22,88.8,18.6
2017-01-16,28.1,22.5,93.5,0.0
2017-01-17,31.3,21.6,90.6,0.0
2017-01-18,32,22,87.3,0.0
2017-01-19,34.9,23,87.9,32.8
2017-01-20,28.1,22,88.4,36.4
2017-01-21,26.3,20.6,93.5,20.6
2017-01-22,32.2,21.2,88.2,0.0
2017-01-23,32.4,21.5,89.4,0.0
2017-01-24,26.5,23.4,96.7,39.2
2017-01-25,25,22.2,96.1,58.6
2017-01-26,30.2,21.5,89.7,0.0
2017-01-27,26.1,21.9,97.8,19.5
2017-01-28,33,21,98.9,0.0
2017-01-29,26.9,21.5,95.2,0.0
2017-01-30,32.8,22.3,88.2,0.0
2017-01-31,33.8,20.5,87.0,0.0
2017-02-01,33.6,21.8,86.4,0.0
